ID	name	type
0003	Abutilon pannosum (Forster fil.) Schlecht.	Ch
0007	Acacia ehrenbergiana Hyane	MI
0018	Acacia raddiana (Savi) Brenan	NA
2707	Acacia tortilis (Forssk.) Hayne	ME
0016	Acacia tortilis ssp. raddiana (Savi) Brenan	NA
2045	Aeluropus lagopoides (L.) Trin. ex Thwaites	HE
0027	Aerva javanica (Burm. Fil.) Juss. ex Schultes	Ch
2963	Anabasis articulata (Forssk.) Moq.	Ch
3241	Anabasis sp.	Ch
1710	Anastatica hierochuntia L.	Th
0080	Aristida mutabilis Trin. & Rupr.	HE
5042	Arthrocnemum perenne Zohry (Miller) A.J. Scott	Hy
5109	Asphodelus tenuifolius Cav.	Th
6227	Asteriscus vogelii	Th
0088	Astragalus vogelii (Webb) Hutch	Th
5197	Atractylis sp.	
2966	Atriplex halimus L.	NA
0882	Avicennia germinans (L.) L.	MI
0093	Balanites aegyptiaca (L.) Delile	MI
3307	Bassia sp.	Th
0905	Boerhavia repens L.	Th
0115	Boscia senegalensis (Pers.) Lam.	MI
0122	Brachiaria ramosa (L.) Stapf	
3338	Brachiaria sp.	
2968	Calligonum polygonoides ssp. commosum (L'Hérit.) Sosk.	NA
0133	Calotropis procera Willd.	MI
2114	Campanula erinus L.	
0137	Capparis decidua (Forssk.) Edgew.	MI
0143	Cassia italica (Miller) Lam. ex F. W. Andrews	Th
1853	Caylusea hexagyna (Forssk.) M.Green	Ch
3098	Centropodia forskalii (Vahl) Cope	HE
0167	Chrozophora senegalensis (Lam.) Juss. ex Spengel	Ch
2163	Cistanche phelypaea (L.) Coutinho	HE
0182	Citrullus colocynthis (L.) Schrad.	Th
0181	Citrullus lanatus (Thunb.) Matsumara & Nakai	Th
1658	Cleome amblyocarpa Barrate & Murbebeck	Th
1777	Cleome arabica L.	Ch
0177	Cocculus pendulus (J. R. Forster) Diels	LI
2969	Coelachyrum brevifolium Hochst. & Nees	Th
0198	Convolvulus prostratus Forssk.	Th
0200	Corchorus depressus (L.) Stocks	Th
0203	Corchorus tridens L.	Th
2970	Cornulaca monacantha Del.	NA
2214	Cressa cretica L.	Th
0210	Crotalaria arenaria Benth.	Ch
1646	Crotalaria microphylla Vahl	
2971	Crotalaria saharae Cosson	Th
0238	Cymbopogon schoenanthus (L.) Sprengel	HE
3507	Cymbopogon sp.	HE
5045	Cymodocea nodosa (Ucria) Ascherson	Hy
1031	Cyperus conglomeratus Rottb.	HE
4972	Cyperus sp.	HE
2281	Dichanthium foveolatum (Delile) Roberty		
0326	Eragrostis tremula Hochst. ex Steudel	
2972	Eremobium aegypiacum (Spreng.) Asch.	Ch
0333	Euphorbia balsamifera Ait.	MI
1775	Euphorbia calyptrata Casson & Durieu	Th
2287	Euphorbia granulata Forskal var. granulata	Th
1136	Euphorbia prostrata Ait.	
0337	Euphorbia scordifolia Jacq.	Ch
1675	Fagonia arabica L.	Th
1632	Fagonia bruguieri DC.	Th
1760	Fagonia glutinosa Delile	Th
1142	Fagonia indica Burm. f.	Th
2973	Fagonia isotricha (Murb.) Ozenda & Quézel	Th
1761	Fagonia longispina Batt.	Th
3631	Fagonia sp.	Th
0343	Farsetia stylosa R.Br.	Th
0362	Gisekia pharnacioides L.	Th
0365	Glossonema boveanum (Decne) Decne	
2347	Heliotropium pterocarpum (DC. & A. DC.) Hochst. & 338	Th
0379	Heliotropium ramosissimum (Lehm.) DC.	Th 
3713	Heliotropium sp.	Th
1642	Hydrocotyle bonarien		
5218	Hyoscyamus muticus L.	Th       
5217	Hyoscyamus sp.	Th
2362	Indigofera argentea Burm.f.	Ch
1643	Indigofera semitrijuga Forssk.	HE
1644	Indigofera sessiliflora DC.	Th
3748	Indigofera sp.	He
5476	Kickxia aegyptiaca Nabelek	Th
3772	Kickxia sp.	Th
2402	Lasiurus scindicus Henrard	Ch
2975	Launaea arborescens (Batt.) Maire	NA
6064	Launaea resedifolia O. Kuntze	Th
0496	Leptadenia pyrotechnica (Forskal) Decne	NA
0502	Limeum viscosum (Gay) FenzlTh
6453	Lophochloa phleoides	     
2430	Lotus glinoides Del.	Th        
1645	Lotus jolyi Batt.	Th 
2977	Lycium intricatum Boiss.	Ch        
0515	Maerua crassifolia Forssk.	ME      
1734	Mesembryanthemum cryptanthum Hook.f.	Th 
0539	Moltkiopsis ciliata (Forskal) Johnst	Ch    
1690	Monsonia nivea (Dec.) Dec.	Th         
2978	Morettia canescens Boiss.	Ch      
0545	Morettia philaeana (Delile) DC.	Th      
5196	Nauplius graveolens (Forssk.) Wikl.	Th       
2979	Neurada procumbens L.	Th     
2980	Nitraria retusa (Forssk.) Asch.	NA       
2981	Nucularia perrini Batt.	Ch          
0567	Pancratium trianthum Herb.	Ge 
0573	Panicum laetum Kunth	Ch
0579	Panicum turgidum Forssk.	HE       
5002	Parietaria sp.	
0597	Pergularia tomentosa L.	Ch
1897	Polycarpaea nivea (Aiton) Webb.	HE
5448	Polycarpon robbairea Ktze.	Th
2982	Polygala erioptera DC.	Th
0632	Psoralea plicata Delile	Ch
5643	Pulicaria alveolosa Batt. & Trab.	Th
0636	Pulicaria crispa (Forskal) Bentham & Hooker	Th
2550	Salsola baryosma (Roem. & Schult.) Dandy	Ch
2984	Salsola longifolia Forssk.	Ch
4738	Salsola sp.	Ch
0666	Salvadora persica L.	ME     
4748	Satureja sp.	
0673	Schouwia thebaica  Webb.	Th
5016	Seetzenia sp.	Th
2985	Sesuvium portulacastrum (L.) L.	Ch   
2986	Sesuvium sesuvioides (Fenzl) Verdcourt	Ch     
2987	Spartina maritima (Curtis) Fernald	Hy      
2988	Sporobolus virginicus (L.) Kunth	HE
2989	Stipagrostis acutiflora (Trin. & Rupr.) DeWint.	HE   
2990	Stipagrostis ciliata (Desf.) de Winter	HE
5039	Stipagrostis plumosa L.	HE
0733	Stipagrostis pungens (Desf.) de Winter	HE
4822	Stipagrostis sp.	HE
2991	Suaeda arguinensis Maire	NA
2601	Suaeda fruticosa Forskal ex J.-F.Gmelin	NA
5043	Suaeda maritima (L.) Dumort.	Th
1788	Suaeda monodiana M.	Ch
4830	Suaeda sp.	Ch
2603	Suaeda vermiculata Forssk.	NA
4843	Tamarix sp.	MI
2993	Tamarix tenuifolia M. & Trab.	NA
1793	Traganum moquinii Webb ex Moq.	NA
2995	Traganum nudatum Del.	Ch
2572	Trianthema polysperm	
2996	Tribulus macropterus (Boiss) Maire	Th
0771	Tribulus terrestris L.	Th
0804	Ziziphus lotus (L.) Desf.	Na
5038	Zostera noltii Hornem.	Hy
2997	Zygophyllum simplex L.	HE
2998	Zygophyllum waterlotii M.	Ch