id,Nom Scientifique,Auteur,Année,Nom Français,Nom Vernaculaire,Localité,Latitude,Longitude,Date,Observateur
1,"Crocodylus niloticus",Laurenti,1768,,,Ederoum,18.32678 ,-11.55292 ,2008,"Brito JC et al.2011;Lluch, P. et al. 2004"
2,"Crocodylus niloticus",Laurenti,1768,,,Motoboul,18.48324,-11.74083,2007,"Tellería, J.L. et al. 2008"
3,"Crocodylus niloticus",Laurenti,1768,,,Taorta,18.20358,-11.73466,2009,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
4,"Crocodylus niloticus",Laurenti,1768,,,Kaimel,18.15351,-12.01259,2007,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
5,"Crocodylus niloticus",Laurenti,1768,,,Daal,18.38643,-12.16497,2007,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
6,"Crocodylus niloticus",Laurenti,1768,,,Gabbou,18.27788,-12.36465,2007,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
7,"Crocodylus niloticus",Laurenti,1768,,,Dekheïlet el ‘Aleïb,18.07665,-12.31629,2007,"Tellería, J.L. et al. 2008"
8,"Crocodylus niloticus",Laurenti,1768,,,Tamourt En'Naaj,17.94294,-12.25698,2009,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
9,"Crocodylus niloticus",Laurenti,1768,,,Suklan,17.84979,-12.18643,2008,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
10,"Crocodylus niloticus",Laurenti,1768,,,Tkhsutin,17.82126,-12.18576,2008,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
11,"Crocodylus niloticus",Laurenti,1768,,,El Housseînîya,17.73796,-12.24525,2009,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
12,"Crocodylus niloticus",Laurenti,1768,,,Matmâta,17.88730,-12.11084,2009,"Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
13,"Crocodylus niloticus",Laurenti,1768,,,Jabara,17.88730,-12.10098,2007,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
14,"Crocodylus niloticus",Laurenti,1768,,,Tartêga,17.88108,-12.09400,2009,"Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
15,"Crocodylus niloticus",Laurenti,1768,,,"Tartêga, upstream",17.87557,-12.09165,2008,Brito JC et al.2011
16,"Crocodylus niloticus",Laurenti,1768,,,Bajai,17.84634,-12.07824,2008,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
17,"Crocodylus niloticus",Laurenti,1768,,,M'cherba,17.85531,-12.06884,2009,"Brito JC et al.2011;Lluch, P. et al. 2004"
18,"Crocodylus niloticus",Laurenti,1768,,,Emreimida,17.85244,-11.97194,2009,Brito JC et al.2011
19,"Crocodylus niloticus",Laurenti,1768,,,Kabda,17.84638,-11.96210,2009,"Brito JC et al.2011; Tellería, J.L. et al. 2008"
20,"Crocodylus niloticus",Laurenti,1768,,,Tin Waadine,18.05349,-11.94289,2009,"Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
21,"Crocodylus niloticus",Laurenti,1768,,,Ch'Bayer,17.76208,-11.88283,2009,"Brito JC et al.2011;Lluch, P. et al. 2004"
22,"Crocodylus niloticus",Laurenti,1768,,,Rh' Zembou,17.74163,-11.87386,2009,"Brito JC et al.2011;Lluch, P. et al. 2004"
23,"Crocodylus niloticus",Laurenti,1768,,,Amzouzef,17.70607,-11.82615,2009,"Brito JC et al.2011;Lluch, P. et al. 2004"
24,"Crocodylus niloticus",Laurenti,1768,,,El Khedia,17.83485,-11.55783,2009,"Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
25,"Crocodylus niloticus",Laurenti,1768,,,Sellenbou,17.81617,-12.27857,2007,"Lluch, P. et al. 2004"
26,"Crocodylus niloticus",Laurenti,1768,,,Garaouel,17.45167,-12.39485,2009,"Brito JC et al.2011;Joleaud, L. 1933."
27,"Crocodylus niloticus",Laurenti,1768,,,Jreif (=Toueijikjit),17.42817,-12.41987,2007,"Lluch, P. et al. 2004"
28,"Crocodylus niloticus",Laurenti,1768,,,Jreif,17.40211,-12.38884,2008,Brito JC et al.2011
29,"Crocodylus niloticus",Laurenti,1768,,,E-n-Guinâr,17.40143,-12.36415,2009,Brito JC et al.2011
30,"Crocodylus niloticus",Laurenti,1768,,,El Ghâira,17.18834,-12.24810,2009,Brito JC et al.2011
31,"Crocodylus niloticus",Laurenti,1768,,,Aouînet Nanâga,17.15248,-12.19912,2009,Brito JC et al.2011
32,"Crocodylus niloticus",Laurenti,1768,,,Oumm Icheglâne,17.07030,-12.20785,2009,Brito JC et al.2011
33,"Crocodylus niloticus",Laurenti,1768,,,Bâfa,16.88873,-12.18487,2008,Brito JC et al.2011
34,"Crocodylus niloticus",Laurenti,1768,,,Foum Goussas,16.54746,-12.00959,2008,Brito JC et al.2011
35,"Crocodylus niloticus",Laurenti,1768,,,Guidemballa,16.18484,-12.01206,2008,Brito JC et al.2011
36,"Crocodylus niloticus",Laurenti,1768,,,Soufa,15.95708,-12.00986,2008,Brito JC et al.2011
37,"Crocodylus niloticus",Laurenti,1768,,,Guenétir 2,15.88325,-12.03637,2007,Brito JC et al.2011
38,"Crocodylus niloticus",Laurenti,1768,,,Legleyta,16.75648,-11.99723,2009,Brito JC et al.2011
39,"Crocodylus niloticus",Laurenti,1768,,,Boû blei'îne,17.14076,-11.01114,2009,Brito JC et al.2011
40,"Crocodylus niloticus",Laurenti,1768,,,Taghtâfet,17.32917,-10.70857,2008,Brito JC et al.2011
41,"Crocodylus niloticus",Laurenti,1768,,,Jaraaziza,17.26138,-10.69015,2008,Brito JC et al.2011
42,"Crocodylus niloticus",Laurenti,1768,,,Tâmchekket,17.24986,-10.66761,2008,"Brito JC et al.2011;;Lluch, P. et al. 2004;Kirsch-Jung et al.2007"
43,"Crocodylus niloticus",Laurenti,1768,,,Megta es Sfeira,16.64037,-11.05618,2008,Brito JC et al.2011
44,"Crocodylus niloticus",Laurenti,1768,,,Gâdoum,16.60610,-11.05539,2008,Brito JC et al.2011
45,"Crocodylus niloticus",Laurenti,1768,,,Bougâri,16.54009,-10.80149,2008,"Brito JC et al.2011;Nickel, H. 2003"
46,"Crocodylus niloticus",Laurenti,1768,,,Metraoucha,16.53803,-10.74155,2008,"Brito JC et al.2011;Nickel, H. 2003"
47,"Crocodylus niloticus",Laurenti,1768,,,Oumm el Mhâr,16.57915,-10.70455,2008,Brito JC et al.2011
48,"Crocodylus niloticus",Laurenti,1768,,,El Mefga,16.68758,-10.19136,2008,Brito JC et al.2011
49,"Crocodylus niloticus",Laurenti,1768,,,Kour,16.70180,-10.18359,2008,Brito JC et al.2011;Kirsch-Jung et al.2007
50,"Crocodylus niloticus",Laurenti,1768,,,Chegg el Mâleh,16.51556,-10.45291,2008,Brito JC et al.2011
51,"Crocodylus niloticus",Laurenti,1768,,,Lemsille Gharghar,16.15233,-10.35667,2000s,Kirsch-Jung et al.2007
52,"Crocodylus niloticus",Laurenti,1768,,,Guelb Samba,16.65499,-9.70784,2008,Brito JC et al.2011
53,"Crocodylus niloticus",Laurenti,1768,,,Rachida,16.67533,-9.30600,2000s,Kirsch-Jung et al.2007
54,"Crocodylus niloticus",Laurenti,1768,,,Chelkha,16.42538,-9.63071,2000s,Kirsch-Jung et al.2007
55,"Crocodylus niloticus",Laurenti,1768,,,Goungel,16.40315,-9.55986,2008,Brito JC et al.2011;Kirsch-Jung et al.2007
56,"Crocodylus niloticus",Laurenti,1768,,,Oum Lelli,16.38470,-9.30056,2000s,Kirsch-Jung et al.2007
57,"Crocodylus niloticus",Laurenti,1768,,,Gaât Sawana,16.29671,-9.25699,2000s,Kirsch-Jung et al.2007
58,"Crocodylus niloticus",Laurenti,1768,,,Oum Azvavail,15.85783,-9.01683,2000s,Kirsch-Jung et al.2007
59,"Crocodylus niloticus",Laurenti,1768,,,Gaât Touil,15.74516,-9.68080,2000s,Kirsch-Jung et al.2007
60,"Crocodylus niloticus",Laurenti,1768,,,Ould Agueila,15.50483,-9.81683,2000s,Kirsch-Jung et al.2007